cause_id.level3,cause_name,icd10,icd10_name
297,Tuberculosis,A19.0,Acute miliary tuberculosis of a single specified site
297,Tuberculosis,A19.1,Acute miliary tuberculosis of multiple sites
297,Tuberculosis,A19.2,"Acute miliary tuberculosis, unspecified"
297,Tuberculosis,A17.1,Meningeal tuberculoma
297,Tuberculosis,A19.9,"Miliary tuberculosis, unspecified"
297,Tuberculosis,A19.8,Other miliary tuberculosis
297,Tuberculosis,A15.8,Other respiratory tuberculosis
297,Tuberculosis,A17.8,Other tuberculosis of nervous system
297,Tuberculosis,A15.7,Primary respiratory tuberculosis
297,Tuberculosis,A15.9,Respiratory tuberculosis unspecified
297,Tuberculosis,B90.0,Sequelae of central nervous system tuberculosis
297,Tuberculosis,B90.1,Sequelae of genitourinary tuberculosis
297,Tuberculosis,B90.9,Sequelae of respiratory and unspecified tuberculosis
297,Tuberculosis,B90.2,Sequelae of tuberculosis of bones and joints
297,Tuberculosis,B90.8,Sequelae of tuberculosis of other organs
297,Tuberculosis,A18.7,Tuberculosis of adrenal glands
297,Tuberculosis,A18.0,Tuberculosis of bones and joints
297,Tuberculosis,A18.5,Tuberculosis of eye
297,Tuberculosis,A18.1,Tuberculosis of genitourinary system
297,Tuberculosis,A18.6,Tuberculosis of (inner) (middle) ear
297,Tuberculosis,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
297,Tuberculosis,A15.4,Tuberculosis of intrathoracic lymph nodes
297,Tuberculosis,A15.5,"Tuberculosis of larynx, trachea and bronchus"
297,Tuberculosis,A15.0,Tuberculosis of lung
297,Tuberculosis,A17.9,"Tuberculosis of nervous system, unspecified"
297,Tuberculosis,A18.8,Tuberculosis of other specified organs
297,Tuberculosis,A18.4,Tuberculosis of skin and subcutaneous tissue
297,Tuberculosis,A17.0,Tuberculous meningitis
297,Tuberculosis,A18.2,Tuberculous peripheral lymphadenopathy
297,Tuberculosis,A15.6,Tuberculous pleurisy
297,Tuberculosis,P37.0,Congenital tuberculosis
302,Diarrheal diseases,A06.0,Acute amebic dysentery
302,Diarrheal diseases,A08.1,Acute gastrent d/t Norwalk agent and oth small round viruses
302,Diarrheal diseases,A08.2,Adenoviral enteritis
302,Diarrheal diseases,A06.9,"Amebiasis, unspecified"
302,Diarrheal diseases,A06.6,Amebic brain abscess
302,Diarrheal diseases,A06.8,Amebic infection of other sites
302,Diarrheal diseases,A06.4,Amebic liver abscess
302,Diarrheal diseases,A06.5,Amebic lung abscess
302,Diarrheal diseases,A06.2,Amebic nondysenteric colitis
302,Diarrheal diseases,A06.3,Ameboma of intestine
302,Diarrheal diseases,A05.9,"Bacterial foodborne intoxication, unspecified"
302,Diarrheal diseases,A04.9,"Bacterial intestinal infection, unspecified"
302,Diarrheal diseases,A05.1,Botulism food poisoning
302,Diarrheal diseases,A04.5,Campylobacter enteritis
302,Diarrheal diseases,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
302,Diarrheal diseases,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
302,Diarrheal diseases,A00.9,"Cholera, unspecified"
302,Diarrheal diseases,A06.1,Chronic intestinal amebiasis
302,Diarrheal diseases,A07.2,Cryptosporidiosis
302,Diarrheal diseases,A06.7,Cutaneous amebiasis
302,Diarrheal diseases,A07.4,Cyclosporiasis
302,Diarrheal diseases,R19.7,"Diarrhea, unspecified"
302,Diarrheal diseases,A04.6,Enteritis due to Yersinia enterocolitica
302,Diarrheal diseases,A04.7,Enterocolitis due to Clostridium difficile
302,Diarrheal diseases,A04.3,Enterohemorrhagic Escherichia coli infection
302,Diarrheal diseases,A04.0,Enteropathogenic Escherichia coli infection
302,Diarrheal diseases,A04.1,Enterotoxigenic Escherichia coli infection
302,Diarrheal diseases,A05.4,Foodborne Bacillus cereus intoxication
302,Diarrheal diseases,A05.2,Foodborne Clostridium perfringens intoxication
302,Diarrheal diseases,A05.0,Foodborne staphylococcal intoxication
302,Diarrheal diseases,A05.3,Foodborne Vibrio parahaemolyticus intoxication
