cause_id.level3,cause_name,icd10,icd10_name
297,Tuberculosis,A190,Acute miliary tuberculosis of a single specified site
297,Tuberculosis,A191,Acute miliary tuberculosis of multiple sites
297,Tuberculosis,A192,"Acute miliary tuberculosis, unspecified"
297,Tuberculosis,A171,Meningeal tuberculoma
297,Tuberculosis,A199,"Miliary tuberculosis, unspecified"
297,Tuberculosis,A198,Other miliary tuberculosis
297,Tuberculosis,A158,Other respiratory tuberculosis
297,Tuberculosis,A178,Other tuberculosis of nervous system
297,Tuberculosis,A157,Primary respiratory tuberculosis
297,Tuberculosis,A159,Respiratory tuberculosis unspecified
297,Tuberculosis,B900,Sequelae of central nervous system tuberculosis
297,Tuberculosis,B901,Sequelae of genitourinary tuberculosis
297,Tuberculosis,B909,Sequelae of respiratory and unspecified tuberculosis
297,Tuberculosis,B902,Sequelae of tuberculosis of bones and joints
297,Tuberculosis,B908,Sequelae of tuberculosis of other organs
297,Tuberculosis,A187,Tuberculosis of adrenal glands
297,Tuberculosis,A180,Tuberculosis of bones and joints
297,Tuberculosis,A185,Tuberculosis of eye
297,Tuberculosis,A181,Tuberculosis of genitourinary system
297,Tuberculosis,A186,Tuberculosis of (inner) (middle) ear
297,Tuberculosis,A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
297,Tuberculosis,A154,Tuberculosis of intrathoracic lymph nodes
297,Tuberculosis,A155,"Tuberculosis of larynx, trachea and bronchus"
297,Tuberculosis,A150,Tuberculosis of lung
297,Tuberculosis,A179,"Tuberculosis of nervous system, unspecified"
297,Tuberculosis,A188,Tuberculosis of other specified organs
297,Tuberculosis,A184,Tuberculosis of skin and subcutaneous tissue
297,Tuberculosis,A170,Tuberculous meningitis
297,Tuberculosis,A182,Tuberculous peripheral lymphadenopathy
297,Tuberculosis,A156,Tuberculous pleurisy
297,Tuberculosis,P370,Congenital tuberculosis
302,Diarrheal diseases,A060,Acute amebic dysentery
302,Diarrheal diseases,A081,Acute gastrent d/t Norwalk agent and oth small round viruses
302,Diarrheal diseases,A082,Adenoviral enteritis
302,Diarrheal diseases,A069,"Amebiasis, unspecified"
302,Diarrheal diseases,A066,Amebic brain abscess
302,Diarrheal diseases,A068,Amebic infection of other sites
302,Diarrheal diseases,A064,Amebic liver abscess
302,Diarrheal diseases,A065,Amebic lung abscess
302,Diarrheal diseases,A062,Amebic nondysenteric colitis
302,Diarrheal diseases,A063,Ameboma of intestine
302,Diarrheal diseases,A059,"Bacterial foodborne intoxication, unspecified"
302,Diarrheal diseases,A049,"Bacterial intestinal infection, unspecified"
302,Diarrheal diseases,A051,Botulism food poisoning
302,Diarrheal diseases,A045,Campylobacter enteritis
302,Diarrheal diseases,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae"
302,Diarrheal diseases,A001,"Cholera due to Vibrio cholerae 01, biovar eltor"
302,Diarrheal diseases,A009,"Cholera, unspecified"
302,Diarrheal diseases,A061,Chronic intestinal amebiasis
302,Diarrheal diseases,A072,Cryptosporidiosis
302,Diarrheal diseases,A067,Cutaneous amebiasis
302,Diarrheal diseases,A074,Cyclosporiasis
302,Diarrheal diseases,R197,"Diarrhea, unspecified"
302,Diarrheal diseases,A046,Enteritis due to Yersinia enterocolitica
302,Diarrheal diseases,A047,Enterocolitis due to Clostridium difficile
302,Diarrheal diseases,A043,Enterohemorrhagic Escherichia coli infection
302,Diarrheal diseases,A040,Enteropathogenic Escherichia coli infection
302,Diarrheal diseases,A041,Enterotoxigenic Escherichia coli infection
302,Diarrheal diseases,A054,Foodborne Bacillus cereus intoxication
302,Diarrheal diseases,A052,Foodborne Clostridium perfringens intoxication
302,Diarrheal diseases,A050,Foodborne staphylococcal intoxication
302,Diarrheal diseases,A053,Foodborne Vibrio parahaemolyticus intoxication
302,Diarrheal diseases,A055,Foodborne Vibrio vulnificus intoxication
302,Diarrheal diseases,A073,Isosporiasis
302,Diarrheal diseases,A022,Localized salmonella infections
302,Diarrheal diseases,A038,Other shigellosis
302,Diarrheal diseases,A058,Other specified bacterial foodborne intoxications
