cause_id,icd10
301,A00.0
344,A30.0
380,P00.0
386,D50.1
392,A20.0
410,C00.0
491,B33.2
508,D86.0
521,B18.0
586,D25.0
626,I27.1
688,V00.0
696,L55.0
296,A15.0
301,A01.0
344,A68.0
366,N98.0
380,P04.5
386,D51.0
392,A32.0
491,G45.0
508,D86.9
521,I85.0
526,K20.0
586,D26.1
626,I67.7
640,A66.0
688,V87.2
696,L56.3
344,A69.2
366,O00.0
380,P07.0
386,D52.8
392,A38.0
410,C30.0
491,I01.0
508,G47.3
526,K31.0
586,D28.2
626,L93.0
688,V88.2
696,L56.8
728,Y35.0
296,B90.0
301,A39.0
344,A75.0
366,O09.0
380,P19.0
386,D64.3
392,A48.2
491,I02.0
508,J30.0
521,K70.0
526,K31.8
542,G21.2
558,F50.0
586,D52.1
626,M00.0
640,D86.3
688,V90.0
696,L58.0
301,A48.1
344,A77.0
366,O20.0
380,P24.0
386,E00.0
392,A48.4
410,C40.0
491,I05.0
508,J37.0
521,K71.3
542,G24.1
558,G31.2
586,D55.0
640,H05.0
696,W00.0
344,A82.0
366,O28.0
380,P36.0
392,A49.1
410,C43.0
491,I11.0
521,K71.7
526,K40.0
542,G25.2
558,G72.1
586,D59.0
626,M05.0
640,I89.1
696,W49.0
301,A83.0
392,A50.0
410,C47.0
491,I20.0
521,K72.1
526,K44.0
542,G25.5
558,P04.3
586,D59.5
301,B01.0
344,A98.0
366,O60.0
380,P50.0
386,E63.0
392,A60.0
491,I28.0
508,J70.0
526,K50.0
542,G25.8
558,P96.1
586,D60.0
626,M30.0
640,L08.0
296,P37.0
301,B05.0
344,B33.0
380,P70.0
386,E64.2
392,A63.0
491,I30.0
508,J70.8
521,K75.2
526,K55.0
542,G30.0
558,Q86.0
586,D63.1
626,M34.0
640,L10.0
301,B94.1
344,B50.0
380,P70.3
386,M12.1
410,C60.0
491,I31.8
521,K75.4
526,K62.2
542,G31.8
558,R78.0
586,D64.0
626,M40.0
640,L51.0
301,B97.4
344,B55.0
366,O98.8
380,P74.0
392,A69.0
491,I42.1
508,J84.0
521,K76.4
526,K62.8
586,D64.4
626,M65.0
344,B56.0
380,P80.0
392,A74.0
410,C68.0
508,J91.0
526,K64.0
542,G40.0
626,M71.0
301,G00.0
344,B60.0
