cause_id,cause_name,icd10_lookup_provided,icd10_ranges_expanded
297,Tuberculosis,"A10-A14, A15-A19.9, B90-B90.9, K67.3, K93.0, M49.0, N74.1-N74.2, P37.0, U84.3","A15.0,A15.4,A15.5,A15.6,A15.7,A15.8,A15.9,A17.0,A17.1,A17.8,A17.9,A18.0,A18.1,A18.2,A18.3,A18.4,A18.5,A18.6,A18.7,A18.8,A19.0,A19.1,A19.2,A19.8,A19.9,B90.0,B90.1,B90.2,B90.8,B90.9,P37.0"
302,Diarrheal diseases,"A00-A00.9, A02-A04.1, A04.3, A04.5-A07, A07.2-A07.4, A08-A09.9, R19.7","A00.0,A00.1,A00.9,A02.0,A02.1,A02.2,A02.8,A02.9,A03.0,A03.1,A03.2,A03.3,A03.8,A03.9,A04.0,A04.1,A04.3,A04.5,A04.6,A04.7,A04.8,A04.9,A05.0,A05.1,A05.2,A05.3,A05.4,A05.5,A05.8,A05.9,A06.0,A06.1,A06.2,A06.3,A06.4,A06.5,A06.6,A06.7,A06.8,A06.9,A07.0,A07.1,A07.2,A07.3,A07.4,A07.8,A07.9,A07.2,A07.3,A07.4,A08.0,A08.1,A08.2,A08.3,A08.4,A08.8,R19.7"
318,Intestinal infectious diseases,"A01.0-A01.4, A04.2, A04.4, A07.0-A07.1, A07.8-A07.9","A01.0,A01.1,A01.2,A01.3,A01.4,A04.2,A04.4,A07.0,A07.1,A07.8,A07.9"
322,Lower respiratory infections,"A48.1, A70, B97.4-B97.6, J09-J15.8, J16-J16.9, J20-J21.9, P23.0-P23.4, U04-U04.9","A48.1,B97.4,B97.5,B97.6,J10.0,J10.1,J10.2,J10.8,J11.0,J11.1,J11.2,J11.8,J12.0,J12.1,J12.2,J12.3,J12.8,J12.9,J15.0,J15.1,J15.2,J15.3,J15.4,J15.5,J15.6,J15.7,J15.8,J16.0,J16.8,J20.0,J20.1,J20.2,J20.3,J20.4,J20.5,J20.6,J20.7,J20.8,J20.9,J21.0,J21.1,J21.8,J21.9,P23.0,P23.1,P23.2,P23.3,P23.4"
328,Upper respiratory infections,"J01-J01.9, J04.0, J05-J05.0, J36-J36.0","J01.0,J01.1,J01.2,J01.3,J01.4,J01.8,J01.9,J04.0,J05.0"
329,Otitis media,H70-H70.9,"H70.0,H70.1,H70.2,H70.8,H70.9"
332,Meningitis,"A39-A39.9, A87-A87.9, G00.0-G00.8, G03-G03.8","A39.0,A39.1,A39.2,A39.3,A39.4,A39.5,A39.8,A39.9,A87.0,A87.1,A87.2,A87.8,A87.9,G00.0,G00.1,G00.2,G00.3,G00.8,G03.0,G03.1,G03.2,G03.8"
337,Encephalitis,"A83-A86.4, B94.1, F07.1, G04-G05.8","A83.0,A83.1,A83.2,A83.3,A83.4,A83.5,A83.6,A83.8,A83.9,A84.0,A84.1,A84.8,A84.9,A85.0,A85.1,A85.2,A85.8,B94.1,G04.0,G04.1,G04.2,G04.3,G04.8,G04.9,G05.3,G05.4"
338,Diphtheria,A36-A36.9,"A36.0,A36.1,A36.2,A36.3,A36.8,A36.9"
339,Whooping cough,A37-A37.9,"A37.0,A37.1,A37.8,A37.9"
