cause_id,icd10,icd10_name
648,Q99.1,"46, XX true hermaphrodite"
612,N75.1,Abscess of Bartholin's gland
602,N45.4,Abscess of epididymis or testis
602,N41.2,Abscess of prostate
612,N76.4,Abscess of vulva
652,Q10.4,Absence and agenesis of lacrimal apparatus
650,Q55.0,Absence and aplasia of testis
652,Q16.2,Absence of eustachian tube
652,Q13.1,Absence of iris
652,Q83.2,Absent nipple
668,L11.9,"Acantholytic disorder, unspecified"
652,Q17.0,Accessory auricle
652,Q83.1,Accessory breast
649,Q69.0,Accessory finger(s)
650,Q63.0,Accessory kidney
652,Q33.1,Accessory lobe of lung
652,Q83.3,Accessory nipple
649,Q69.1,Accessory thumb(s)
649,Q69.2,Accessory toe(s)
707,W50.3,Accidental bite by another person
705,W34.0,Accidental discharge from other and unsp firearms and guns
705,W32.0,Accidental handgun discharge
705,W32.1,Accidental handgun malfunction
707,W50.0,Accidental hit or strike by another person
707,W50.1,Accidental kick by another person
705,W34.1,Accidental malfunction from other and unsp firearms and guns
705,W33.0,"Accidental rifle, shotgun and larger firearm discharge"
705,W33.1,"Accidental rifle, shotgun and larger firearm malfunction"
707,W50.4,Accidental scratch by another person
707,W50.2,Accidental twist by another person
649,Q77.0,Achondrogenesis
649,Q77.4,Achondroplasia
612,N83.3,Acquired atrophy of ovary and fallopian tube
668,L12.3,Acquired epidermolysis bullosa
668,L11.0,Acquired keratosis follicularis
618,D60.9,"Acquired pure red cell aplasia, unspecified"
595,N30.0,Acute cystitis
402,B17.0,Acute delta-(super) infection of hepatitis B carrier
847,C94.0,Acute erythroid leukemia
402,B16.0,Acute hepatitis B with delta-agent with hepatic coma
402,B16.1,Acute hepatitis B with delta-agent without hepatic coma
402,B16.2,Acute hepatitis B without delta-agent with hepatic coma
402,B16.9,Acute hepatitis B w/o delta-agent and without hepatic coma
403,B17.1,Acute hepatitis C
404,B17.2,Acute hepatitis E
943,C95.0,Acute leukemia of unspecified cell type
657,L04.0,"Acute lymphadenitis of face, head and neck"
657,L04.3,Acute lymphadenitis of lower limb
657,L04.8,Acute lymphadenitis of other sites
657,L04.1,Acute lymphadenitis of trunk
657,L04.2,Acute lymphadenitis of upper limb
657,L04.9,"Acute lymphadenitis, unspecified"
845,C91.0,Acute lymphoblastic leukemia [ALL]
847,C94.2,Acute megakaryoblastic leukemia
335,A39.2,Acute meningococcemia
934,A19.0,Acute miliary tuberculosis of a single specified site
934,A19.1,Acute miliary tuberculosis of multiple sites
934,A19.2,"Acute miliary tuberculosis, unspecified"
847,C93.0,Acute monoblastic/monocytic leukemia
847,C92.0,Acute myeloblastic leukemia
847,C92.6,Acute myeloid leukemia with 11q23-abnormality
847,C92.5,Acute myelomonocytic leukemia
942,I40.9,"Acute myocarditis, unspecified"
847,C94.4,Acute panmyelosis with myelofibrosis
847,C92.4,Acute promyelocytic leukemia
602,N41.0,Acute prostatitis
612,N76.0,Acute vaginitis
612,N76.2,Acute vulvitis
336,A87.1,Adenoviral meningitis
943,C91.5,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
650,Q51.5,Agenesis and aplasia of cervix
650,Q51.0,Agenesis and aplasia of uterus
652,Q30.1,Agenesis and underdevelopment of nose
651,Q44.0,"Agenesis, aplasia and hypoplasia of gallbladder"
651,Q45.0,"Agenesis, aplasia and hypoplasia of pancreas"
652,Q33.3,Agenesis of lung
593,Q62.4,Agenesis of ureter
938,I42.6,Alcoholic cardiomyopathy
614,D56.0,Alpha thalassemia
514,J63.0,Aluminosis (of lung)
495,G45.3,Amaurosis fugax
652,Q06.0,Amyelia
616,D55.2,Anemia due to disorders of glycolytic enzymes
618,D55.3,Anemia due to disorders of nucleotide metabolism
618,D55.9,"Anemia due to enzyme disorder, unspecified"
616,D55.0,Anemia due to glucose-6-phosphate dehydrogenase deficiency
616,D55.1,Anemia due to other disorders of glutathione metabolism
642,Q00.0,Anencephaly
694,V80.4,Animl rider/occ injured collision hvy veh
694,V80.0,Animl-rider/occ injured fall from same w/o collision
694,V80.9,Animl rider/occ injured oth transp acc
694,V80.5,Animl-ridr or occ of anml-drn vehicle inj in clsn w mtr veh
694,V80.1,Animl-ridr or occ of anml-drn vehicle inj in clsn w ped/anml
694,V80.2,Animl-ridr or occ of anml-drn vehicle inj in clsn w pedl cyc
694,V80.3,Animl-ridr or occ of anml-drn veh inj in clsn w 2/3-whl mv
694,V80.7,Animl-ridr or occ of anml-drn veh inj in clsn w nonmtr veh
694,V80.6,Animl-ridr or occ of anml-drn veh inj in clsn w rail trn/veh
694,V80.8,Animl-ridr or occ of anml-drn veh inj in clsn w statnry obj
651,Q38.1,Ankyloglossia
651,Q45.1,Annular pancreas
399,A63.0,Anogenital (venereal) warts
643,Q26.5,Anomalous portal venous connection
643,Q26.4,"Anomalous pulmonary venous connection, unspecified"
652,Q34.0,Anomaly of pleura
652,Q84.3,Anonychia
573,F50.0,Anorexia nervosa
495,G46.1,Anterior cerebral artery syndrome
643,Q21.4,Aortopulmonary septal defect
618,D61.2,Aplastic anemia due to other external agents
618,D61.9,"Aplastic anemia, unspecified"
652,Q04.1,Arhinencephaly
652,Q07.0,Arnold-Chiari syndrome
643,Q28.2,Arteriovenous malformation of cerebral vessels
643,Q28.0,Arteriovenous malformation of precerebral vessels
643,Q27.3,Arteriovenous malformation (peripheral)
649,Q74.3,Arthrogryposis multiplex congenita
361,B77.9,"Ascariasis, unspecified"
361,B77.0,Ascariasis with intestinal complications
361,B77.8,Ascariasis with other complications
727,X96.0,Assault by antipersonnel bomb
727,Y03.0,Assault by being hit or run over by motor vehicle
727,X92.2,Assault by drown after push into swimming pool
727,X92.3,Assault by drowning and submersion in natural water
727,X92.9,"Assault by drowning and submersion, unspecified"
727,X92.0,Assault by drowning and submersion while in bathtub
727,X92.1,Assault by drowning and submersion while in swimming pool
727,X96.3,Assault by fertilizer bomb
725,X95.0,"Assault by gas, air or spring-operated guns"
727,X96.1,Assault by gasoline bomb
727,X98.2,Assault by hot fluids
727,X98.3,Assault by hot household appliances
727,X98.1,Assault by hot tap water
727,Y04.1,Assault by human bite
725,X94.1,Assault by hunting rifle
726,X99.1,Assault by knife
727,X96.2,Assault by letter bomb
725,X94.2,Assault by machine gun
727,Y04.8,Assault by other bodily force
725,X95.8,Assault by other firearm discharge
727,X98.8,Assault by other hot objects
725,X94.8,Assault by other larger firearm discharge
726,X99.8,Assault by other sharp object
