disease,icd10,group1,group2
Balantidiasis,A07.0,Intestinal infectious diseases (318),Diarrheal diseases (302)
Giardiasis [lambliasis],A07.1,Intestinal infectious diseases (318),Diarrheal diseases (302)
Other specified protozoal intestinal diseases,A07.8,Intestinal infectious diseases (318),Diarrheal diseases (302)
"Protozoal intestinal disease, unspecified",A07.9,Intestinal infectious diseases (318),Diarrheal diseases (302)
Epidemic myalgia,B33.0,Other neglected tropical diseases (365),Other infectious diseases (408)
Ross River disease,B33.1,Other neglected tropical diseases (365),Other infectious diseases (408)
Viral carditis,B33.2,Cardiomyopathy and myocarditis (499),Other infectious diseases (408)
Loiasis,B74.3,Other neglected tropical diseases (365),Lymphatic filariasis (354)
Mansonelliasis,B74.4,Other neglected tropical diseases (365),Lymphatic filariasis (354)
Other filariases,B74.8,Other neglected tropical diseases (365),Lymphatic filariasis (354)
"Filariasis, unspecified",B74.9,Other neglected tropical diseases (365),Lymphatic filariasis (354)
Other benign neoplasm of cervix uteri,D26.0,Cervical cancer (432),Gynecological diseases (603)
Sequelae of protein-calorie malnutrition,E64.0,Protein-energy malnutrition (387),Other nutritional deficiencies (391)
Disorders of amino-acid transport,E72.0,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Disorders of sulfur-bearing amino-acid metabolism,E72.1,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Disorders of urea cycle metabolism,E72.2,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Disorders of lysine and hydroxylysine metabolism,E72.3,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Disorders of ornithine metabolism,E72.4,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Disorders of glycine metabolism,E72.5,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Other specified disorders of amino-acid metabolism,E72.8,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
"Disorder of amino-acid metabolism, unspecified",E72.9,Guinea worm disease (936),"Endocrine, metabolic, blood, and immune disorders (619)"
Drug induced dystonia,G24.0,"Endocrine, metabolic, blood, and immune disorders (619)",Other neurological disorders (557)
Drug-induced myopathy,G72.0,"Endocrine, metabolic, blood, and immune disorders (619)",Other neurological disorders (557)
Alcoholic myopathy,G72.1,Alcohol use disorders (560),Other neurological disorders (557)
Acute mastoiditis,H70.0,Otitis media (329),Sense organ diseases (669)
Chronic mastoiditis,H70.1,Otitis media (329),Sense organ diseases (669)
Petrositis,H70.2,Otitis media (329),Sense organ diseases (669)
Other mastoiditis and related conditions,H70.8,Otitis media (329),Sense organ diseases (669)
Unspecified mastoiditis,H70.9,Otitis media (329),Sense organ diseases (669)
Rheumatic chorea with heart involvement,I02.0,Rheumatic heart disease (492),Other infectious diseases (408)
Pleural plaque with presence of asbestos,J92.0,Pneumoconiosis (510),Other chronic respiratory diseases (520)
Acute dilatation of stomach,K31.0,Peptic ulcer disease (527),Other digestive diseases (541)
Polyp of stomach and duodenum,K31.7,Other neoplasms (488),Peptic ulcer disease (527)
Anal polyp,K62.0,Other neoplasms (488),Other digestive diseases (541)
Rectal polyp,K62.1,Other neoplasms (488),Other digestive diseases (541)
Radiation proctitis,K62.7,"Endocrine, metabolic, blood, and immune disorders (619)",Other digestive diseases (541)
Toxic liver disease with acute hepatitis,K71.2,Hepatitis (400),Cirrhosis and other chronic liver diseases due to other causes (525)
"Toxic liver disease with hepatitis, not elsewhere classified",K71.6,Hepatitis (400),Cirrhosis and other chronic liver diseases due to other causes (525)
Phlebitis of portal vein,K75.1,Other cardiovascular and circulatory diseases (507),Cirrhosis and other chronic liver diseases due to other causes (525)
"Granulomatous hepatitis, not elsewhere classified",K75.3,Other infectious diseases (408),Cirrhosis and other chronic liver diseases due to other causes (525)
Infarction of liver,K76.3,Other infectious diseases (408),Cirrhosis and other chronic liver diseases due to other causes (525)
Unspecified juvenile rheumatoid arthritis,M08.0,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Juvenile ankylosing spondylitis,M08.1,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Juvenile rheumatoid arthritis with systemic onset,M08.2,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Juvenile rheumatoid polyarthritis (seronegative),M08.3,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Pauciarticular juvenile rheumatoid arthritis,M08.4,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Other juvenile arthritis,M08.8,Rheumatoid arthritis (627),Other musculoskeletal disorders (639)
Balkan nephropathy,N15.0,Urinary diseases and male infertility (594),Chronic kidney disease (589)
First degree perineal laceration during delivery,O70.0,Maternal hemorrhage (367),Other maternal disorders (379)
Second degree perineal laceration during delivery,O70.1,Maternal hemorrhage (367),Other maternal disorders (379)
Third degree perineal laceration during delivery,O70.2,Maternal hemorrhage (367),Other maternal disorders (379)
Fourth degree perineal laceration during delivery,O70.3,Maternal hemorrhage (367),Other maternal disorders (379)
"Anal sphincter tear comp del, not assoc w third degree lac",O70.4,Maternal hemorrhage (367),Other maternal disorders (379)
"Perineal laceration during delivery, unspecified",O70.9,Maternal hemorrhage (367),Other maternal disorders (379)
Newborn (suspected to be) affected by incompetent cervix,P01.0,Neonatal preterm birth complications (381),Other neonatal disorders (385)
Newborn (suspected to be) affected by premature ROM,P01.1,Neonatal preterm birth complications (381),Other neonatal disorders (385)
Newborn affected by malpresentation before labor,P01.7,Neonatal encephalopathy due to birth asphyxia and trauma (382),Other neonatal disorders (385)
Congenital tuberculosis,P37.0,Tuberculosis (297),Other infectious diseases (408)
Congenital toxoplasmosis,P37.1,Other neglected tropical diseases (365),Other infectious diseases (408)
Syndrome of infant of mother with gestational diabetes,P70.0,Diabetes mellitus (587),Other neonatal disorders (385)
Syndrome of infant of a diabetic mother,P70.1,Diabetes mellitus (587),Other neonatal disorders (385)
Neonatal diabetes mellitus,P70.2,Diabetes mellitus (587),Other neonatal disorders (385)
Congenital renal failure,P96.0,Congenital birth defects (641),Other neonatal disorders (385)
Neonatal w/drawal symp from matern use of drugs of addiction,P96.1,Drug use disorders (561),Other neonatal disorders (385)
Withdrawal symptoms from therapeutic use of drugs in newborn,P96.2,"Endocrine, metabolic, blood, and immune disorders (619)",Other neonatal disorders (385)
Comp to newborn due to (fetal) intrauterine procedure,P96.5,"Endocrine, metabolic, blood, and immune disorders (619)",Other neonatal disorders (385)
Fetal alcohol syndrome (dysmorphic),Q86.0,Alcohol use disorders (560),Congenital birth defects (641)
Nail entering through skin,W45.0,Exposure to mechanical forces (704),Foreign body (712)
Paper entering through skin,W45.1,Exposure to mechanical forces (704),Foreign body (712)
Lid of can entering through skin,W45.2,Exposure to mechanical forces (704),Foreign body (712)
