cause_id,icd10,icd10_name
641,Q99.1,"46, XX true hermaphrodite"
501,I71.3,"Abdominal aortic aneurysm, ruptured"
501,I71.4,"Abdominal aortic aneurysm, without rupture"
371,O00.0,Abdominal pregnancy
379,O28.5,Abn chromsoml and genetic find on antenat screen of mother
379,O28.1,Abnormal biochemical finding on antenat screening of mother
379,O28.2,Abnormal cytolog finding on antenatal screening of mother
587,R73.0,Abnormal glucose
680,K04.3,Abnormal hard tissue formation in pulp
379,O28.0,Abnormal hematolog finding on antenatal screening of mother
680,K00.2,Abnormalities of size and form of teeth
367,O62.9,"Abnormality of forces of labor, unspecified"
371,O02.9,"Abnormal product of conception, unspecified"
379,O28.4,Abnormal radiolog finding on antenatal screening of mother
379,O28.3,Abnormal ultrasonic finding on antenatal screening of mother
384,P55.1,ABO isoimmunization of newborn
680,K03.1,Abrasion of teeth
520,J34.0,"Abscess, furuncle and carbuncle of nose"
603,N75.1,Abscess of Bartholin's gland
368,O91.1,"Abscess of breast assoc w pregnancy, the puerp and lactation"
639,M71.0,Abscess of bursa
594,N45.4,Abscess of epididymis or testis
669,H60.0,Abscess of external ear
525,K75.0,Abscess of liver
594,N41.2,Abscess of prostate
680,K11.3,Abscess of salivary gland
619,D73.3,Abscess of spleen
639,M65.0,Abscess of tendon sheath
619,E32.1,Abscess of thymus
603,N76.4,Abscess of vulva
641,Q10.4,Absence and agenesis of lacrimal apparatus
641,Q55.0,Absence and aplasia of testis
641,Q16.2,Absence of eustachian tube
641,Q13.1,Absence of iris
641,Q83.2,Absent nipple
585,F55.0,Abuse of antacids
585,F55.1,Abuse of herbal or folk remedies
585,F55.2,Abuse of laxatives
585,F55.8,Abuse of other non-psychoactive substances
585,F55.3,Abuse of steroids or hormones
585,F55.4,Abuse of vitamins
365,B60.1,Acanthamebiasis
653,L11.9,"Acantholytic disorder, unspecified"
641,Q17.0,Accessory auricle
641,Q83.1,Accessory breast
641,Q69.0,Accessory finger(s)
641,Q63.0,Accessory kidney
641,Q33.1,Accessory lobe of lung
641,Q83.3,Accessory nipple
641,Q69.1,Accessory thumb(s)
641,Q69.2,Accessory toe(s)
704,W50.3,Accidental bite by another person
704,W34.0,Accidental discharge from other and unsp firearms and guns
704,W32.0,Accidental handgun discharge
704,W32.1,Accidental handgun malfunction
704,W50.0,Accidental hit or strike by another person
704,W50.1,Accidental kick by another person
704,W34.1,Accidental malfunction from other and unsp firearms and guns
619,I97.5,Accidental pnctr & lac of a circ sys org dur proc
619,K91.7,Accidental pnctr & lac of a digestive system org dur proc
619,N99.7,Accidental pnctr & lac of a GU sys org dur proc
619,E36.1,Accidental pnctr & lac of an endo sys org during a procedure
619,G97.4,Accidental pnctr & lac of a nervous system org dur proc
619,J95.7,Accidental pnctr & lac of a respiratory system org dur proc
669,H59.2,Accidental pnctr & lac of eye and adnexa during a procedure
619,D78.1,Accidental pnctr & lac of the spleen during a procedure
704,W33.0,"Accidental rifle, shotgun and larger firearm discharge"
704,W33.1,"Accidental rifle, shotgun and larger firearm malfunction"
704,W50.4,Accidental scratch by another person
704,W50.2,Accidental twist by another person
695,V00.8,Accident on other pedestrian conveyance
695,V98.0,"Accident to, on or involving cable-car, not on rails"
695,V98.2,"Accident to, on or involving ice yacht"
695,V98.1,"Accident to, on or involving land-yacht"
695,V98.3,"Accident to, on or involving ski lift"
541,K22.0,Achalasia of cardia
641,Q77.0,Achondrogenesis
641,Q77.4,Achondroplasia
603,N83.3,Acquired atrophy of ovary and fallopian tube
619,D68.4,Acquired coagulation factor deficiency
653,L12.3,Acquired epidermolysis bullosa
653,L11.0,Acquired keratosis follicularis
382,P91.1,Acquired periventricular cysts of newborn
613,D60.9,"Acquired pure red cell aplasia, unspecified"
669,H61.3,Acquired stenosis of external ear canal
619,E22.0,Acromegaly and pituitary gigantism
408,B47.1,Actinomycetoma
356,A71.1,Active stage of trachoma
302,A06.0,Acute amebic dysentery
541,K60.0,Acute anal fissure
408,A24.1,Acute and fulminating melioidosis
503,I33.9,"Acute and subacute endocarditis, unspecified"
557,G36.1,Acute and subacute hemorrhagic leukoencephalitis [Hurst]
525,K72.0,Acute and subacute hepatic failure
503,I33.0,Acute and subacute infective endocarditis
669,H20.0,Acute and subacute iridocyclitis
669,H04.3,Acute and unspecified inflammation of lacrimal passages
680,K04.4,Acute apical periodontitis of pulpal origin
529,K35.2,Acute appendicitis with generalized peritonitis
529,K35.3,Acute appendicitis with localized peritonitis
669,H10.1,Acute atopic conjunctivitis
322,J21.1,Acute bronchiolitis due to human metapneumovirus
322,J21.8,Acute bronchiolitis due to other specified organisms
322,J21.0,Acute bronchiolitis due to respiratory syncytial virus
322,J21.9,"Acute bronchiolitis, unspecified"
322,J20.3,Acute bronchitis due to coxsackievirus
322,J20.7,Acute bronchitis due to echovirus
322,J20.1,Acute bronchitis due to Hemophilus influenzae
322,J20.0,Acute bronchitis due to Mycoplasma pneumoniae
322,J20.8,Acute bronchitis due to other specified organisms
322,J20.4,Acute bronchitis due to parainfluenza virus
322,J20.5,Acute bronchitis due to respiratory syncytial virus
322,J20.6,Acute bronchitis due to rhinovirus
322,J20.2,Acute bronchitis due to streptococcus
322,J20.9,"Acute bronchitis, unspecified"
346,B57.0,Acute Chagas' disease with heart involvement
346,B57.1,Acute Chagas' disease without heart involvement
534,K81.0,Acute cholecystitis
534,K81.2,Acute cholecystitis with chronic cholecystitis
493,I24.0,Acute coronary thrombosis not resulting in myocardial infrc
594,N30.0,Acute cystitis
400,B17.0,Acute delta-(super) infection of hepatitis B carrier
527,K31.0,Acute dilatation of stomach
541,K31.0,Acute dilatation of stomach
557,G36.9,"Acute disseminated demyelination, unspecified"
337,G04.0,Acute disseminated encephalitis and encephalomyelitis (ADEM)
619,J70.2,Acute drug-induced interstitial lung disorders
527,K26.2,Acute duodenal ulcer with both hemorrhage and perforation
527,K26.0,Acute duodenal ulcer with hemorrhage
527,K26.3,Acute duodenal ulcer without hemorrhage or perforation
